Manam,145.038,-4.079,0.09
Manda_Hararo,40.813,12.174,0.04
Mandalagan,123.236,10.637,0.14
Manengouba,9.842,5.022,0.16
Marapi,100.474,-0.381,0.13
Marchena,-90.464,0.35,0.12
Mare,127.391,0.573,0.03
Marion_Island,37.708,-46.904,0.17
Mariveles,120.468,14.517,0.22
Marsabit,37.961,2.317,0.4
Masaraga,123.598,13.31,0.09
Mat_Ala,41.161,13.106,0.07
Matutum,125.076,6.36,0.07
Mauna_Kea,-155.47,19.823,0.3
Mauna_Loa,-155.607,19.474,0.58
Mayon,123.686,13.255,0.08
Mayor_Island,176.241,-37.281,0.04
Meager,-123.513,50.645,0.13
Medicine_Lake,-121.554,41.61,0.24
Medvezhia,148.838,45.389,0.05
Melimoyu,-72.861,-44.076,0.11
Mendeleev,145.732,43.979,0.05
Mentolat,-73.076,-44.697,0.07
Merapi,110.446,-7.541,0.07
Merbabu,110.439,-7.455,0.09
Mere_Lava,168.039,-14.464,0.04
Meru,36.75,-3.245,0.16
Miiques,-67.759,-23.817,0.09
Mikura-jima,139.603,33.874,0.05
Milne,151.786,46.814,0.1
Minchinmvida,-72.446,-42.8,0.07
Miravalles,-85.152,10.747,0.13
"Misti,_El",-71.412,-16.297,0.1
Miyake-jima,139.526,34.081,0.07
Mlos,24.382,36.676,0.08
Mocho-Choshuenco,-72.03,-39.932,0.11
Moffett,-176.742,51.937,0.09
Mojanda,-78.294,0.133,0.16
Mombacho,-85.96,11.827,0.07
Momotombo,-86.54,12.424,0.04
Moti,127.411,0.453,0.05
Motlav,167.683,-13.668,0.06
Mousa_Alli,42.404,12.468,0.12
Moyuta,-90.096,14.027,0.18
Muhavura,29.678,-1.383,0.05
Muria,110.89,-6.617,0.17
Mutnovsky,158.196,52.448,0.09
Myoko,138.112,36.892,0.09
Nabro,41.728,13.391,0.15
Nakano-shima,129.856,29.859,0.05
Namarunu,36.436,1.978,0.05
Nantai,139.49,36.765,0.05
Narcondum,94.262,13.444,0.03
Nasu,139.962,37.149,0.08
Natib,120.401,14.712,0.22
"Negra,_Sierra",-91.136,-0.782,0.21
"Negro_de_Mayasquer,_Cerro",-77.966,0.824,0.05
Nemo_Peak,154.813,49.564,0.05
Nemrut_Dagi,42.255,38.654,0.13
"Nevada,_Sierra",-68.56,-26.492,0.14
